ENSG00000243485,MIR1302-2HG,
ENSG00000172179,PRL,
ENSG00000071677,PRLH,
ENSG00000113494,PRLR,
ENSG00000119973,PRLHR,
ENSG00000259384,GH1,
ENSG00000136487,GH2,
ENSG00000235173,HGH1,
ENSG00000118702,GHRH,
ENSG00000121853,GHSR,
ENSG00000106128,GHRHR,
ENSG00000115263,GCG,
ENSG00000215644,GCGR,
ENSG00000112164,GLP1R,
ENSG00000065325,GLP2R,
ENSG00000131808,FSHB,
ENSG00000170820,FSHR,
ENSG00000104826,LHB,
ENSG00000138039,LHCGR,
ENSG00000042832,TG,
ENSG00000115705,TPO,
ENSG00000170893,TRH,
ENSG00000151365,THRSP,
ENSG00000134200,TSHB,
ENSG00000165409,TSHR,
ENSG00000126351,THRA,
ENSG00000151090,THRB,
ENSG00000054118,THRAP3,
ENSG00000174417,TRHR,
ENSG00000147437,GNRH1,
ENSG00000125787,GNRH2,
ENSG00000109163,GNRHR,
ENSG00000101405,OXT,
ENSG00000180914,OXTR,
ENSG00000101200,AVP,
ENSG00000166148,AVPR1A,
ENSG00000198049,AVPR1B,
ENSG00000126895,AVPR2,
ENSG00000111424,VDR,
ENSG00000254647,INS,
ENSG00000248099,INSL3,
ENSG00000120211,INSL4,
ENSG00000172410,INSL5,
ENSG00000120210,INSL6,
ENSG00000171105,INSR,
ENSG00000027644,INSRR,
ENSG00000186480,INSIG1,
ENSG00000125629,INSIG2,
ENSG00000017427,IGF1,
ENSG00000167244,IGF2,
ENSG00000188293,IGFL1,
ENSG00000099869,IGF2-AS,
ENSG00000140443,IGF1R,
ENSG00000197081,IGF2R,
ENSG00000146678,IGFBP1,
ENSG00000115457,IGFBP2,
ENSG00000146674,IGFBP3,
ENSG00000141753,IGFBP4,
ENSG00000115461,IGFBP5,
ENSG00000167779,IGFBP6,
ENSG00000163453,IGFBP7,
ENSG00000245067,IGFBP7-AS1,
ENSG00000159217,IGF2BP1,
ENSG00000073792,IGF2BP2,
ENSG00000163915,IGF2BP2-AS1,
ENSG00000136231,IGF2BP3,
ENSG00000099769,IGFALS,
ENSG00000137142,IGFBPL1,
ENSG00000204866,IGFL2,
ENSG00000268621,IGFL2-AS1,
ENSG00000188624,IGFL3,
ENSG00000204869,IGFL4,
ENSG00000126246,IGFLR1,
ENSG00000091831,ESR1,
ENSG00000140009,ESR2,
ENSG00000164850,GPER1,
ENSG00000173153,ESRRA,
ENSG00000119715,ESRRB,
ENSG00000196482,ESRRG,
ENSG00000169083,AR,
ENSG00000145545,SRD5A1,
ENSG00000277893,SRD5A2,
ENSG00000128039,SRD5A3,
ENSG00000249700,SRD5A3-AS1,
ENSG00000203857,HSD3B1,
ENSG00000203859,HSD3B2,
ENSG00000099377,HSD3B7,
ENSG00000148795,CYP17A1,
ENSG00000137869,CYP19A1,
ENSG00000108786,HSD17B1,
ENSG00000072506,HSD17B10,
ENSG00000198189,HSD17B11,
ENSG00000149084,HSD17B12,
ENSG00000170509,HSD17B13,
ENSG00000087076,HSD17B14,
ENSG00000086696,HSD17B2,
ENSG00000130948,HSD17B3,
ENSG00000232283,HSD17B3-AS1,
ENSG00000133835,HSD17B4,
ENSG00000025423,HSD17B6,
ENSG00000132196,HSD17B7,
ENSG00000204228,HSD17B8,
ENSG00000113580,NR3C1,
ENSG00000151623,NR3C2,
ENSG00000082175,PGR,
ENSG00000177455,CD19,
ENSG00000153563,CD8A,
ENSG00000172116,CD8B,
ENSG00000198851,CD3E,
ENSG00000010610,CD4,
ENSG00000189430,NCR1,
ENSG00000149294,NCAM1,
,,
,,
,,
,,
,,
